idhm_l,ODS_6_1,ODS_6_4,ODS_6_6,ODS_6_7,ODS_6_8,classe
0.724,38.916,14.130,100,73.450,29.920,2
0.676,113.058,15.480,88.980,87.960,100,3
0.680,1481.018,0.780,91.090,88.920,100,2
0.815,0.01,22.660,100,100,100,3
0.716,20.917,28.680,100,96.360,100,3
0.721,33.733,37.800,84.950,79.510,100,3
0.701,349.484,15.450,94.030,92.580,100,2
0.664,31.523,32.380,32.950,32.740,100,1
0.681,28.191,0.01,96.010,96.010,100,4
0.741,511.264,10.500,92.020,91.010,100,2
0.692,38.260,42.010,92.370,92.370,100,3
0.738,21.452,39.530,96.050,96.050,100,3
0.700,8.807,18.910,51.500,21.090,100,1
0.716,36.127,18.640,93.110,88.840,100,3
0.700,268.489,6.180,88.050,79.630,100,3
0.691,28.284,39.460,99.070,99.070,100,3
0.809,48.997,23.050,96.590,95.630,100,3
0.683,0.01,18.580,58.860,26.460,100,2
0.691,9.681,24.190,65.670,48.730,99.960,2
0.696,17.603,22.640,88.520,43.890,100,2
0.786,111.990,38.660,100,93.840,100,3
0.739,50.575,22.600,69.250,38.660,100,2
0.791,24.198,29.780,96.980,95.500,54.680,2
0.714,102.480,1.370,100,100,100,4
0.714,360.268,10.840,88.010,79.490,100,3
0.688,124.409,15.340,90.020,89.800,100,3
0.713,126.087,40,92.130,92.130,100,3
0.680,55.316,35.310,68.740,52.190,100,2
0.737,13.009,38.640,86.070,80.030,100,3
0.696,36.523,0.01,0,0.01,0,1
0.637,23.815,22.070,55.470,51.460,100,2
0.759,0.01,29.310,97.620,97.620,100,3
0.742,0.01,9.870,98.720,98.720,100,4
0.688,62.127,10.960,89.290,89.330,100,4
0.691,204.204,53.090,70.700,70.700,100,2
0.652,11.442,32.440,82.150,72.390,100,3
0.692,25.564,19.570,67.920,67.010,100,3
0.727,228.803,15.980,83.120,83.120,100,3
0.696,25.727,44.740,78.830,78.830,100,2
0.716,22.308,29.290,95.320,46.370,100,2
0.627,30.030,23.500,75.020,33.750,100,2
0.699,26.455,39.170,99.520,50.630,98,2
0.728,5.437,33.750,98.770,92.420,100,3
0.702,24.261,37.520,95.250,83.540,98.010,3
0.687,15.770,46.530,97.480,69.840,58.110,1
0.750,31.900,41.620,99.200,99.200,100,3
0.595,23.430,30.960,61.740,44.660,100,2
0.738,223.858,21.080,99.350,99.350,100,3
0.681,105.450,23.690,86.620,72.520,100,3
0.716,42.412,0.01,0,0.01,0,1
0.682,100.990,40.740,78.770,68.670,100,2
0.665,14.133,32.320,100,72.040,17.400,2
0.668,90.834,21.110,93.080,85.120,100,3
0.642,39.777,30.270,39.750,29.340,100,1
0.788,9.789,30.880,90.320,83.980,100,3
0.685,14.340,26.110,83.820,83.150,100,3
0.734,97.895,30.040,86.400,86.660,100,3
0.673,15.284,25.560,92.920,86.720,100,3
0.697,50.942,14.750,94.420,91.470,100,3
0.782,7.974,54.370,90.390,86.050,100,2
0.750,25.472,25.860,83.100,73.060,100,3
0.768,159.353,28.170,100,100,100,3
0.679,28.794,17.330,83.950,88.610,100,3
0.778,57.951,45.400,96.640,96.640,69.560,2
0.749,9.345,37.760,99.500,98.920,85.320,3
0.700,125.069,20.770,100,100,0.01,2
0.687,55.900,26.430,68.540,61.600,100,2
0.782,11.921,36.840,97.120,95.190,85.810,3
0.750,69.104,15.800,100,99.630,100,3
0.727,0.01,16.050,73.410,48.890,100,2
0.738,7.123,41.570,100,81.940,46.740,1
0.728,55.593,0.010,100,100,0.01,2
0.723,13.065,23.290,71.110,26.730,100,2
0.768,23.703,39.540,96.890,96.890,99.800,3
0.680,63.472,22.300,100,99.490,100,3
0.707,0.01,23.360,71.520,65.590,97.410,3
0.701,87.893,14.820,84.330,84.330,100,3
0.752,48.172,28.610,90.600,89.780,100,3
0.659,62.500,0.110,100,100,100,4
0.721,29.257,24.370,94.700,59.770,95.990,3
0.834,19.858,35.210,99.070,98.230,100,3
0.727,168.019,2.800,82.230,82.230,100,3
0.654,26.712,36.590,71.440,54.650,100,2
0.680,12.640,31.210,46.610,15.010,100,1
0.686,0.01,27.730,66.500,65.600,100,2
0.732,38.214,38.290,92.130,88.280,100,3
0.698,138.380,0.01,48.810,47.460,100,1
0.665,82.068,20.700,100,68.720,100,3
0.729,45.042,46.940,97.940,97.940,100,3
0.743,30.439,23.130,97.760,97.760,99.240,3
0.761,34.362,18.880,97.020,97.020,100,3
0.722,37.074,15.920,98.740,82.560,0.01,2
0.762,16.560,14.130,100,99.710,100,3
0.736,96.494,32.290,100,98.910,99.930,3
0.697,304.348,15.370,90.480,89.220,100,3
0.783,12.002,35.730,97.510,86.600,100,3
0.728,205.611,22.550,90.600,89.170,100,3
0.736,0.01,18.350,92.550,86.020,100,3
0.709,45.776,23.900,96.590,96.590,100,3
0.682,119.556,19.110,86.290,86.080,100,3
0.679,0.01,28.170,92.340,91.560,100,3
0.670,189.681,20.050,95.830,94.010,100,3
0.763,63.901,51.190,97.010,97.010,100,3
0.720,49.098,40,88.390,88.390,0.01,1
0.705,54.171,11.470,82.120,81.470,100,3
0.724,128.949,12.050,96.740,94.810,100,4
0.721,6.324,29.840,78.370,77.260,0.01,2
0.767,16.677,28.870,59.590,25.030,76.330,2
0.730,0.01,19.530,85.890,85.890,100,3
0.650,33.625,21.720,36.740,36.430,100,1
0.711,541.465,26.030,94.360,93.350,100,2
0.736,0.01,40,85.930,79.500,0.01,1
0.684,195.551,2,86.870,83.960,100,3
0.768,48.630,47.850,100,100,64.810,2
0.681,47.483,12.190,88.980,88.320,100,3
0.703,112.663,13.690,99.890,99.890,100,3
0.766,34.678,31.430,100,100,100,3
0.721,9.214,44.820,98,92.890,90.860,3
